"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"p[1]",0.598871799042243,0.0207866441161048,0.557404360786783,0.598680352409039,0.639754765031569,1,797
"p[2]",0.450494809393384,0.0187530710817537,0.414142583050007,0.450306345136382,0.487418211417254,1.01,747
"p[3]",0.712749345668656,0.0190651734017931,0.675581850961149,0.713018898692934,0.750827467955809,1.01,621
"p[4]",0.661468268697735,0.0209902352183377,0.620262132874401,0.661358356879136,0.702643288781363,1,619
"p[5]",0.633090602799569,0.0259475643200004,0.582539277715973,0.633537783469192,0.681871706574336,1,559
"p[6]",0.500846794189552,0.0288987007285084,0.441013718421061,0.501226061765165,0.554908404851039,1.02,597
"p[7]",0.695883212723899,0.0399877305803454,0.615012045564147,0.695697615366113,0.772610989860646,1,251
"p[8]",0.782818090823403,0.0490941256071942,0.677855998841473,0.785470024747231,0.868850956296827,1,741
"p[9]",0.601863948602778,0.0761229793083739,0.451956450714868,0.603766803955878,0.746331867414262,1.01,368
"p[10]",0.699678739618424,0.0876419163154363,0.514932428854375,0.707122326554653,0.848429238028645,1,342
"p[11]",0.716903457104711,0.151213669190054,0.448749135040155,0.711966885952597,0.982027841836271,1,120
"phi[1]",0.81253200636648,0.019752694049045,0.775270503344363,0.812142913539372,0.851473308433781,1,535
"phi[2]",0.806356118190323,0.0237665848262994,0.75864716117174,0.807076015986996,0.851463242760058,1.03,297
"phi[3]",0.745399631950039,0.0217605266223327,0.704536425430497,0.745135280592563,0.786831896312204,1.02,393
"phi[4]",0.664561096759473,0.021020784490316,0.62655051889684,0.664178051053574,0.705742039084355,1,387
"phi[5]",0.581466881000554,0.0251356238413485,0.533137297658746,0.581103487908783,0.631968867853409,1,474
"phi[6]",0.690564493660998,0.0333131552902935,0.630052666601784,0.68873487077068,0.761128819715144,1.02,352
"phi[7]",0.835200795051047,0.04936707146504,0.745069691195347,0.832462329195735,0.934100032480133,1.02,150
"phi[8]",0.323616108898582,0.0308700586553513,0.265813824881612,0.323256177981433,0.388789388254539,1,524
"phi[9]",0.659073620786935,0.0785569684003506,0.520447946533414,0.654645190406991,0.826296939616647,1,227
"phi[10]",0.552526837732125,0.0903594115889729,0.382391969331203,0.548818222123811,0.736632789156081,1.02,262
"phi[11]",0.712869201168214,0.157380873332193,0.424352692256634,0.703615014616506,0.978503391786195,1,125
